filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type
d_oil_ref_add_alp_ovl_mod1120.bmp,17f0c89560262facc329bff0066ed14c40438288,096e9a175ccffdc71ec5b93dbe8161d919af725a,false,ps2 textures\OPAQUE\no_mip_fixes,true,true,2,remarci_4x
door_b00.bmp,b3d59a74e89f5adc19f597fa878822140ac3efdc,2c33f7a8c37be0f569a9d763cf52763c7c779690,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
ghost_pos.bmp,0688c30b4f1e48ff2f721a58008d3b82b67622c9,4714bca6543db26fa2b88c346a9bec6fff46b2ae,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
iro_boots.bmp,9356d052a7df7b79cae479f8a308f27608fc4ba6,1a272c08f19304585d3cf4eadb6d5baf440d4902,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared,true,true,2,remarci_4x
m3l_gou_02msk.bmp,38de8e37a584aa68a98181af59196679d96f7818,3f35455a9a84b37dfdad43124135cf00e345a2fe,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x
megami.bmp,1cc70bbe945ac92d1769b94f904fa40bc6dba074,075c0894b28a9bc560676d26b2846aa02eee35c3,true,ps2 textures\OPAQUE,true,true,2,remarci_4x
n_oil_ref_add_alp_ovl_mod1120.bmp,a49316c7863e3442d8e19ac9253cc7e11521f5f2,7a6fbbc9b7b9ff52d62ffce37307dee24f4f84a1,false,ps2 textures\OPAQUE\no_mip_fixes,true,true,2,remarci_4x
org_chest.bmp,45f4d06caabdaa58803b291745c2b7c2e76ff9ce,17d13337c0da9dd0dfe7630d8bc70b77f052f78e,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared,true,true,2,remarci_4x
police_pos.bmp,29ad46397709ad6b69bb348377eaead6b60a18fc,c33a920e2b81ad47780721a6cb686c95b9482527,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
s_oil_ref_add_alp_ovl_mod1120.bmp,bf1f187e1a65e11656f1655e28daa50080738c11,c5e2664643d73ffc75d08fbf90a37e62d844732b,false,ps2 textures\OPAQUE\no_mip_fixes,true,true,2,remarci_4x
sel_boots.bmp,9356d052a7df7b79cae479f8a308f27608fc4ba6,39a69bb48e5439085ae070bd658d02788f879f78,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
sna_body_ss01dt.bmp,6904e983f7e4f7d9d13d83c4446a16433657a612,3debb130fdaac6dd3d2781ef3102ac493c418d3d,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
w00a_pol1.bmp,9a589680b2bae15fa5384b122c673b5b533f5cdb,19c9a91f7e19f1af3a55267a5e8c86d57b2ad1c2,true,ps2 textures\OPAQUE,true,true,2,remarci_4x
w01a0_box00.bmp,dd0316b46fe98a57f45bccc9810df12c36b37df8,2fe507f17e6907c2f58558aba58fc9a5ad92d385,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
w01a0_box002.bmp,842df7d6c9f51b42b0ddb54d409d54ca8be492f0,f9d84d0ea17a311c1d5913556c3e5e0e156ae8f1,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
w01a0_fl00_bld080_ovl.bmp,30f76edc91f078d3769dc641386a2619f140fdc7,5b65c0c80a75b024424bacae0edcffa7442dbb12,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x
w01a0_fl02_bld080_ovl.bmp,c6af84cb112b7005d4e95c9200128c71439f110f,dad1c980abd0ea31cd5db4b8f25d726b11d7877c,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x
w01b_wlp03_bld075_ovl.bmp,e2c6d1f8256849638970296c6230c00dee4245d9,06c0e70a511fa360c2f2bd78c958c1352354f020,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x
w01c_flp00_bld095_ovl.bmp,f5bfdd16a9314366a5cf7d750529faf2f37032fb,8ce294f24b004f6c7e7a0d5bf9702db38874edc6,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x
w03a_pp02.bmp_09b1a01b9996f568e8ca8e878bee4475,9579286b4d05ff52f4b32af0b7e59697d68972a7,5cc6cd8b49795ce668068a02bd6341d913d25fc3,true,ps2 textures\OPAQUE,true,true,2,remarci_4x
w11_drum_f1.bmp,29b8b1e1076864a4b254cd3a9ceb51c727747f10,855b6f862a0888e6f48165df504fd61d759e8181,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
w11a2_closed_shatter.bmp,00430779989b742888b01e6122ff1d7ca4e5022e,5027bf8bf985e100d03bfe01afc174813c4b60b0,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
w24a_flag_usa.bmp,489e2e6efa708148de758a3ad7ea0f7f8280708a,5ec2ba63be6965df03d36c1b9d66aaa16416782b,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared,true,true,2,remarci_4x
w24c1_rev_disp_01.bmp,7803842108e9b8de7182e4866e490ea633869782,679b80de7dc7b715269c8245bc4f1e7a1718b6db,true,ps2 textures\OPAQUE,true,true,2,remarci_4x
w32a_asi00.bmp,62e4782a627187f0d399273ac2649c430bab2d04,144ac33fb44ac65e933742ff32306e934488baff,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
w43a_wall_right_08_alp_ovl.bmp,d5da97c0845a6bab31cc13a3561edd31aa4424f6,c8ba88f2bf74cd189f18aefd10e20ebec0d2cc09,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x
zoe_pos_n.bmp,37db81fde14d6159978e4969ad85fbef616a3bbe,3f86f4d670fbc5a6afd0fffa9cecb3aabbf7b4b8,true,ps2 textures\OPAQUE\bp_remade,true,true,2,remarci_4x
